index,lexeme,cell,phon_form,alignment,stem,exponents,method
5448,bill,21,p l a y b i l l,0 1 2 4 5 6 7 8,- b i l l -,p l a y -,"User features, features similarity, Progressive alignment"
5449,bill,22,p l a y b i l l s,0 1 2 4 5 6 7 8 11,- b i l l -,p l a y - s,"User features, features similarity, Progressive alignment"
5450,bill,23,w a y b i l l,1 2 4 5 6 7 8,- b i l l -,w a y -,"User features, features similarity, Progressive alignment"
5451,bill,24,w a y b i l l s,1 2 4 5 6 7 8 11,- b i l l -,w a y - s,"User features, features similarity, Progressive alignment"
5452,billet,0,b i l l e t,0 1 2 3 4 5,b i l l e t -,-,"User features, features similarity, Progressive alignment"
5453,billet,1,b i l l e t e d,0 1 2 3 4 5 6 8,b i l l e t -,- e d,"User features, features similarity, Progressive alignment"
5454,billet,2,b i l l e t i n g,0 1 2 3 4 5 6 7 8,b i l l e t -,- i n g,"User features, features similarity, Progressive alignment"
5455,billet,3,b i l l e t s,0 1 2 3 4 5 7,b i l l e t -,- s,"User features, features similarity, Progressive alignment"
5456,billiard,0,b i l l i a r d,0 1 2 3 4 5 6 7,b i l l i a r d -,-,"User features, features similarity, Progressive alignment"
5457,billiard,1,b i l l i a r d - m a r k e r,0 1 2 3 4 5 6 7 9 10 11 12 13 14,b i l l i a r d -,- m a r k e r,"User features, features similarity, Progressive alignment"
5458,billiard,2,b i l l i a r d - m a r k e r s,0 1 2 3 4 5 6 7 9 10 11 12 13 14 15,b i l l i a r d -,- m a r k e r s,"User features, features similarity, Progressive alignment"
5459,billiard,3,b i l l i a r d - p l a y e r,0 1 2 3 4 5 6 7 8 9 10 12 13 14,b i l l i a r d -,- p l a y e r,"User features, features similarity, Progressive alignment"
5460,billiard,4,b i l l i a r d - p l a y e r s,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15,b i l l i a r d -,- p l a y e r s,"User features, features similarity, Progressive alignment"
5461,billiard,5,b i l l i a r d - r o o m,0 1 2 3 4 5 6 7 11 12 13 14,b i l l i a r d -,- r o o m,"User features, features similarity, Progressive alignment"
5462,billiard,6,b i l l i a r d - r o o m s,0 1 2 3 4 5 6 7 11 12 13 14 15,b i l l i a r d -,- r o o m s,"User features, features similarity, Progressive alignment"
5463,billiard,7,b i l l i a r d - t a b l e,0 1 2 3 4 5 6 7 8 10 11 12 13,b i l l i a r d -,- t a b l e,"User features, features similarity, Progressive alignment"
5464,billiard,8,b i l l i a r d - t a b l e s,0 1 2 3 4 5 6 7 8 10 11 12 13 15,b i l l i a r d -,- t a b l e s,"User features, features similarity, Progressive alignment"
5465,billiard,9,b i l l i a r d s,0 1 2 3 4 5 6 7 15,b i l l i a r d -,- s,"User features, features similarity, Progressive alignment"
5466,billingsgate,0,b i l l i n g s g a t e,0 1 2 3 4 5 6 7 8 9 10 11,b i l l i n g s g a t e,-,"User features, features similarity, Progressive alignment"
5467,billion,0,b i l l i o n,0 1 2 3 4 5 6,b i l l i o n -,-,"User features, features similarity, Progressive alignment"
5468,billion,1,b i l l i o n s,0 1 2 3 4 5 6 9,b i l l i o n -,- s,"User features, features similarity, Progressive alignment"
5469,billion,2,b i l l i o n t h,0 1 2 3 4 5 6 7 8,b i l l i o n -,- t h,"User features, features similarity, Progressive alignment"
5470,billion,3,b i l l i o n t h s,0 1 2 3 4 5 6 7 8 9,b i l l i o n -,- t h s,"User features, features similarity, Progressive alignment"
5471,billionth,0,b i l l i o n t h,0 1 2 3 4 5 6 7 8,b i l l i o n t h -,-,"User features, features similarity, Progressive alignment"
5472,billionth,1,b i l l i o n t h s,0 1 2 3 4 5 6 7 8 9,b i l l i o n t h -,- s,"User features, features similarity, Progressive alignment"
5473,billow,0,b i l l o w,0 1 2 3 4 5,b i l l o w -,-,"User features, features similarity, Progressive alignment"
5474,billow,1,b i l l o w e d,0 1 2 3 4 5 6 7,b i l l o w -,- e d,"User features, features similarity, Progressive alignment"
5475,billow,2,b i l l o w i n g,0 1 2 3 4 5 6 7 8,b i l l o w -,- i n g,"User features, features similarity, Progressive alignment"
5476,billow,3,b i l l o w s,0 1 2 3 4 5 6,b i l l o w -,- s,"User features, features similarity, Progressive alignment"
5477,billow,4,b i l l o w y,0 1 2 3 4 5 8,b i l l o w -,- y,"User features, features similarity, Progressive alignment"
5478,biltong,0,b i l t o n g,0 1 2 3 4 5 6,b i l t o n g,-,"User features, features similarity, Progressive alignment"
5479,bimonthly,0,b i m o n t h l y,0 1 2 3 4 5 6 7 8,b i m o n t h l y,-,"User features, features similarity, Progressive alignment"
5480,bin,0,a s h b i n,1 2 5 6 7 8,- b i n -,a s h -,"User features, features similarity, Progressive alignment"
5481,bin,1,a s h b i n s,1 2 5 6 7 8 9,- b i n -,a s h - s,"User features, features similarity, Progressive alignment"
5482,bin,2,b i n,6 7 8,- b i n -,-,"User features, features similarity, Progressive alignment"
5483,bin,3,b i n s,6 7 8 9,- b i n -,- s,"User features, features similarity, Progressive alignment"
5484,bin,4,d u s t b i n,0 1 2 3 6 7 8,- b i n -,d u s t -,"User features, features similarity, Progressive alignment"
5485,bin,5,d u s t b i n s,0 1 2 3 6 7 8 9,- b i n -,d u s t - s,"User features, features similarity, Progressive alignment"
5486,bin,6,l i t t e r b i n,0 1 2 3 4 5 6 7 8,- b i n -,l i t t e r -,"User features, features similarity, Progressive alignment"
5487,bin,7,l i t t e r b i n s,0 1 2 3 4 5 6 7 8 9,- b i n -,l i t t e r - s,"User features, features similarity, Progressive alignment"
5488,bin,8,l o o n y b i n,0 1 3 4 5 6 7 8,- b i n -,l o o n y -,"User features, features similarity, Progressive alignment"
5489,bin,9,l o o n y b i n s,0 1 3 4 5 6 7 8 9,- b i n -,l o o n y - s,"User features, features similarity, Progressive alignment"
5490,bin,10,w a s t e - b i n,0 1 2 3 4 6 7 8,- b i n -,w a s t e -,"User features, features similarity, Progressive alignment"
5491,bin,11,w a s t e - b i n s,0 1 2 3 4 6 7 8 9,- b i n -,w a s t e - s,"User features, features similarity, Progressive alignment"
5492,bind,0,b i n d,3 8 9 10,- n d -,b i -,"User features, features similarity, Progressive alignment"
5493,bind,1,b i n d e r,3 8 9 10 12 13,- n d -,b i - e r,"User features, features similarity, Progressive alignment"
5494,bind,2,b i n d e r i e s,3 8 9 10 12 13 14 15 16,- n d -,b i - e r i e s,"User features, features similarity, Progressive alignment"
5495,bind,3,b i n d e r s,3 8 9 10 12 13 16,- n d -,b i - e r s,"User features, features similarity, Progressive alignment"
5496,bind,4,b i n d e r y,3 8 9 10 12 13 15,- n d -,b i - e r y,"User features, features similarity, Progressive alignment"
5497,bind,5,b i n d i n g,3 8 9 10 11 14 15,- n d -,b i - i n g,"User features, features similarity, Progressive alignment"
5498,bind,6,b i n d s,3 8 9 10 16,- n d -,b i - s,"User features, features similarity, Progressive alignment"
5499,bind,7,b i n d w e e d,3 8 9 10 11 12 15 16,- n d -,b i - w e e d,"User features, features similarity, Progressive alignment"
5500,bind,8,b o o k b i n d e r,3 4 5 6 7 8 9 10 12 13,- n d -,b o o k b i - e r,"User features, features similarity, Progressive alignment"
5501,bind,9,b o o k b i n d e r i e s,3 4 5 6 7 8 9 10 12 13 14 15 16,- n d -,b o o k b i - e r i e s,"User features, features similarity, Progressive alignment"
5502,bind,10,b o o k b i n d e r s,3 4 5 6 7 8 9 10 12 13 16,- n d -,b o o k b i - e r s,"User features, features similarity, Progressive alignment"
5503,bind,11,b o o k b i n d e r y,3 4 5 6 7 8 9 10 12 13 15,- n d -,b o o k b i - e r y,"User features, features similarity, Progressive alignment"
5504,bind,12,b o u n d,3 4 5 9 10,- n d -,b o u -,"User features, features similarity, Progressive alignment"
5505,bind,13,b o u n d e n,3 4 5 9 10 12 14,- n d -,b o u - e n,"User features, features similarity, Progressive alignment"
5506,bind,14,r e b i n d,1 2 3 8 9 10,- n d -,r e b i -,"User features, features similarity, Progressive alignment"
5507,bind,15,r e b i n d i n g,1 2 3 8 9 10 11 14 15,- n d -,r e b i - i n g,"User features, features similarity, Progressive alignment"
5508,bind,16,r e b i n d s,1 2 3 8 9 10 16,- n d -,r e b i - s,"User features, features similarity, Progressive alignment"
5509,bind,17,r e b o u n d,1 2 3 4 5 9 10,- n d -,r e b o u -,"User features, features similarity, Progressive alignment"
5510,bind,18,s p e l l b i n d,0 1 2 4 6 7 8 9 10,- n d -,s p e l l b i -,"User features, features similarity, Progressive alignment"
5511,bind,19,s p e l l b i n d e r,0 1 2 4 6 7 8 9 10 12 13,- n d -,s p e l l b i - e r,"User features, features similarity, Progressive alignment"
5512,bind,20,s p e l l b i n d e r s,0 1 2 4 6 7 8 9 10 12 13 16,- n d -,s p e l l b i - e r s,"User features, features similarity, Progressive alignment"
5513,bind,21,s p e l l b i n d i n g,0 1 2 4 6 7 8 9 10 11 14 15,- n d -,s p e l l b i - i n g,"User features, features similarity, Progressive alignment"
5514,bind,22,s p e l l b i n d s,0 1 2 4 6 7 8 9 10 16,- n d -,s p e l l b i - s,"User features, features similarity, Progressive alignment"
5515,bind,23,s p e l l b o u n d,0 1 2 4 5 6 7 8 9 10,- n d -,s p e l l b o u -,"User features, features similarity, Progressive alignment"
5516,bind,24,u n b i n d,0 2 3 8 9 10,- n d -,u n b i -,"User features, features similarity, Progressive alignment"
5517,bind,25,u n b i n d i n g,0 2 3 8 9 10 11 14 15,- n d -,u n b i - i n g,"User features, features similarity, Progressive alignment"
5518,bind,26,u n b i n d s,0 2 3 8 9 10 16,- n d -,u n b i - s,"User features, features similarity, Progressive alignment"
5519,bind,27,u n b o u n d,0 2 3 4 5 9 10,- n d -,u n b o u -,"User features, features similarity, Progressive alignment"
5520,binding,0,b i n d i n g,4 5 6 7 8 9 10,- b i n d i n g -,-,"User features, features similarity, Progressive alignment"
5521,binding,1,b i n d i n g s,4 5 6 7 8 9 10 11,- b i n d i n g -,- s,"User features, features similarity, Progressive alignment"
5522,binding,2,b o o k b i n d i n g,0 1 2 3 4 5 6 7 8 9 10,- b i n d i n g -,b o o k -,"User features, features similarity, Progressive alignment"
5523,bine,0,b i n e,0 1 2 3,b i n e -,-,"User features, features similarity, Progressive alignment"
5524,bine,1,b i n e s,0 1 2 3 4,b i n e -,- s,"User features, features similarity, Progressive alignment"
5525,binge,0,b i n g e,0 1 2 3 4,b i n g e -,-,"User features, features similarity, Progressive alignment"
5526,binge,1,b i n g e s,0 1 2 3 4 5,b i n g e -,- s,"User features, features similarity, Progressive alignment"
5527,bingo,0,b i n g o,0 1 2 3 4,b i n g o,-,"User features, features similarity, Progressive alignment"
5528,binnacle,0,b i n n a c l e,0 1 2 3 4 5 6 7,b i n n a c l e -,-,"User features, features similarity, Progressive alignment"
5529,binnacle,1,b i n n a c l e s,0 1 2 3 4 5 6 7 8,b i n n a c l e -,- s,"User features, features similarity, Progressive alignment"
5530,binomial,0,b i n o m i a l,0 1 2 3 4 5 6 7,b i n o m i a l -,-,"User features, features similarity, Progressive alignment"
5531,binomial,1,b i n o m i a l s,0 1 2 3 4 5 6 7 8,b i n o m i a l -,- s,"User features, features similarity, Progressive alignment"
5532,biotic,0,a n t i b i o t i c,0 1 2 3 4 5 6 7 8 9,- b i o t i c -,a n t i -,"User features, features similarity, Progressive alignment"
5533,biotic,1,a n t i b i o t i c a l l y,0 1 2 3 4 5 6 7 8 9 10 11 12 13,- b i o t i c -,a n t i - a l l y,"User features, features similarity, Progressive alignment"
5534,biotic,2,a n t i b i o t i c s,0 1 2 3 4 5 6 7 8 9 10,- b i o t i c -,a n t i - s,"User features, features similarity, Progressive alignment"
5535,biotic,3,b i o t i c,4 5 6 7 8 9,- b i o t i c -,-,"User features, features similarity, Progressive alignment"
5536,biped,0,b i p e d,0 1 2 3 4,b i p e d -,-,"User features, features similarity, Progressive alignment"
5537,biped,1,b i p e d s,0 1 2 3 4 5,b i p e d -,- s,"User features, features similarity, Progressive alignment"
5538,birch,0,b i r c h,0 1 2 3 4,b i r c h -,-,"User features, features similarity, Progressive alignment"
5539,birch,1,b i r c h - r o d,0 1 2 3 4 5 6 7,b i r c h -,- r o d,"User features, features similarity, Progressive alignment"
5540,birch,2,b i r c h - r o d s,0 1 2 3 4 5 6 7 8,b i r c h -,- r o d s,"User features, features similarity, Progressive alignment"
5541,birch,3,b i r c h e d,0 1 2 3 4 5 7,b i r c h -,- e d,"User features, features similarity, Progressive alignment"
5542,birch,4,b i r c h e s,0 1 2 3 4 5 8,b i r c h -,- e s,"User features, features similarity, Progressive alignment"
5543,birch,5,b i r c h i n g,0 1 2 3 4 6 7 8,b i r c h -,- i n g,"User features, features similarity, Progressive alignment"
5544,bird,0,b i r d,12 13 14 15,-,b i r d,"User features, features similarity, Progressive alignment"
5545,bird,1,b i r d ' s - e y e,12 13 14 15 16 17 18 19 20,-,b i r d ' s e y e,"User features, features similarity, Progressive alignment"
5546,bird,2,b i r d - b r a i n e d,12 13 14 15 16 17 18 19 20 21 22,-,b i r d b r a i n e d,"User features, features similarity, Progressive alignment"
5547,bird,3,b i r d - c a g e,12 13 14 15 16 17 19 20,-,b i r d c a g e,"User features, features similarity, Progressive alignment"
5548,bird,4,b i r d - c a g e s,12 13 14 15 16 17 19 20 22,-,b i r d c a g e s,"User features, features similarity, Progressive alignment"
5549,bird,5,b i r d - f a n c i e r,12 13 14 15 16 17 18 19 20 21 22,-,b i r d f a n c i e r,"User features, features similarity, Progressive alignment"
5550,bird,6,b i r d - f a n c i e r s,0 2 3 5 6 8 16 17 18 20 21 22,-,b i r d f a n c i e r s,"User features, features similarity, Progressive alignment"
5551,bird,7,b i r d - n e s t i n g,12 13 14 15 16 17 18 19 20 21 22,-,b i r d n e s t i n g,"User features, features similarity, Progressive alignment"
5552,bird,8,b i r d - w a t c h e r,12 13 14 15 16 17 18 19 20 21 22,-,b i r d w a t c h e r,"User features, features similarity, Progressive alignment"
5553,bird,9,b i r d - w a t c h e r s,0 2 3 5 6 8 16 17 18 20 21 22,-,b i r d w a t c h e r s,"User features, features similarity, Progressive alignment"
5554,bird,10,b i r d i e,12 13 14 15 18 20,-,b i r d i e,"User features, features similarity, Progressive alignment"
5555,bird,11,b i r d i e s,12 13 14 15 18 20 22,-,b i r d i e s,"User features, features similarity, Progressive alignment"
5556,bird,12,b i r d l i m e,12 13 14 15 16 18 19 20,-,b i r d l i m e,"User features, features similarity, Progressive alignment"
5557,bird,13,b i r d s,12 13 14 15 22,-,b i r d s,"User features, features similarity, Progressive alignment"
5558,bird,14,b i r d s e e d,12 13 14 15 17 19 20 21,-,b i r d s e e d,"User features, features similarity, Progressive alignment"
5559,bird,15,b l a c k b i r d,0 1 4 5 6 12 13 14 15,-,b l a c k b i r d,"User features, features similarity, Progressive alignment"
5560,bird,16,b l a c k b i r d s,0 1 4 5 6 12 13 14 15 22,-,b l a c k b i r d s,"User features, features similarity, Progressive alignment"
5561,bird,17,b l u e b i r d,0 1 2 10 12 13 14 15,-,b l u e b i r d,"User features, features similarity, Progressive alignment"
5562,bird,18,b l u e b i r d s,0 1 2 10 12 13 14 15 22,-,b l u e b i r d s,"User features, features similarity, Progressive alignment"
5563,bird,19,b o w e r b i r d,0 1 2 10 11 12 13 14 15,-,b o w e r b i r d,"User features, features similarity, Progressive alignment"
5564,bird,20,b o w e r b i r d s,0 1 2 10 11 12 13 14 15 22,-,b o w e r b i r d s,"User features, features similarity, Progressive alignment"
5565,bird,21,c a n a r y - b i r d,1 4 5 8 9 11 12 13 14 15,-,c a n a r y b i r d,"User features, features similarity, Progressive alignment"
5566,bird,22,c a n a r y - b i r d s,1 4 5 8 9 11 12 13 14 15 22,-,c a n a r y b i r d s,"User features, features similarity, Progressive alignment"
5567,bird,23,d i c k y b i r d,5 7 8 9 11 12 13 14 15,-,d i c k y b i r d,"User features, features similarity, Progressive alignment"
5568,bird,24,d i c k y b i r d s,5 7 8 9 11 12 13 14 15 22,-,d i c k y b i r d s,"User features, features similarity, Progressive alignment"
5569,bird,25,f i r e b i r d,6 7 9 10 12 13 14 15,-,f i r e b i r d,"User features, features similarity, Progressive alignment"
5570,bird,26,f i r e b i r d s,6 7 9 10 12 13 14 15 22,-,f i r e b i r d s,"User features, features similarity, Progressive alignment"
5571,bird,27,g a l l o w s - b i r d,0 4 5 6 7 9 11 12 13 14 15,-,g a l l o w s b i r d,"User features, features similarity, Progressive alignment"
5572,bird,28,g a l l o w s - b i r d s,0 4 5 6 7 9 11 12 13 14 15 22,-,g a l l o w s b i r d s,"User features, features similarity, Progressive alignment"
5573,bird,29,g a m e - b i r d,0 4 6 10 12 13 14 15,-,g a m e b i r d,"User features, features similarity, Progressive alignment"
5574,bird,30,g a m e - b i r d s,0 4 6 10 12 13 14 15 22,-,g a m e b i r d s,"User features, features similarity, Progressive alignment"
5575,bird,31,h u m m i n g b i r d,1 2 3 6 7 8 9 12 13 14 15,-,h u m m i n g b i r d,"User features, features similarity, Progressive alignment"
5576,bird,32,h u m m i n g b i r d s,1 2 3 6 7 8 9 12 13 14 15 22,-,h u m m i n g b i r d s,"User features, features similarity, Progressive alignment"
5577,bird,33,j a i l b i r d,2 4 7 8 12 13 14 15,-,j a i l b i r d,"User features, features similarity, Progressive alignment"
5578,bird,34,j a i l b i r d s,2 4 7 8 12 13 14 15 22,-,j a i l b i r d s,"User features, features similarity, Progressive alignment"
5579,bird,35,l a d y b i r d,1 4 5 11 12 13 14 15,-,l a d y b i r d,"User features, features similarity, Progressive alignment"
5580,bird,36,l a d y b i r d s,1 4 5 11 12 13 14 15 22,-,l a d y b i r d s,"User features, features similarity, Progressive alignment"
5581,bird,37,l o v e b i r d,1 7 8 10 12 13 14 15,-,l o v e b i r d,"User features, features similarity, Progressive alignment"
5582,bird,38,l o v e b i r d s,1 7 8 10 12 13 14 15 22,-,l o v e b i r d s,"User features, features similarity, Progressive alignment"
5583,bird,39,l y r e b i r d,1 3 9 10 12 13 14 15,-,l y r e b i r d,"User features, features similarity, Progressive alignment"
5584,bird,40,l y r e b i r d s,1 3 9 10 12 13 14 15 22,-,l y r e b i r d s,"User features, features similarity, Progressive alignment"
5585,bird,41,m o c k i n g b i r d,3 4 5 6 7 8 9 12 13 14 15,-,m o c k i n g b i r d,"User features, features similarity, Progressive alignment"
5586,bird,42,m o c k i n g b i r d s,3 4 5 6 7 8 9 12 13 14 15 22,-,m o c k i n g b i r d s,"User features, features similarity, Progressive alignment"
5587,bird,43,n i g h t - b i r d,5 7 9 10 11 12 13 14 15,-,n i g h t b i r d,"User features, features similarity, Progressive alignment"
5588,bird,44,n i g h t - b i r d s,5 7 9 10 11 12 13 14 15 22,-,n i g h t b i r d s,"User features, features similarity, Progressive alignment"
5589,bird,45,s e a b i r d,0 3 4 12 13 14 15,-,s e a b i r d,"User features, features similarity, Progressive alignment"
5590,bird,46,s e a b i r d s,0 3 4 12 13 14 15 22,-,s e a b i r d s,"User features, features similarity, Progressive alignment"
5591,bird,47,s o n g b i r d,0 7 8 9 12 13 14 15,-,s o n g b i r d,"User features, features similarity, Progressive alignment"
5592,bird,48,s o n g b i r d s,0 7 8 9 12 13 14 15 22,-,s o n g b i r d s,"User features, features similarity, Progressive alignment"
5593,bird,49,w a t e r b i r d,2 4 6 10 11 12 13 14 15,-,w a t e r b i r d,"User features, features similarity, Progressive alignment"
5594,bird,50,w a t e r b i r d s,2 4 6 10 11 12 13 14 15 22,-,w a t e r b i r d s,"User features, features similarity, Progressive alignment"
5595,bird,51,w e a v e r - b i r d,2 3 4 8 10 11 12 13 14 15,-,w e a v e r b i r d,"User features, features similarity, Progressive alignment"
5596,bird,52,w e a v e r - b i r d s,2 3 4 8 10 11 12 13 14 15 22,-,w e a v e r b i r d s,"User features, features similarity, Progressive alignment"
5597,bird,53,w h i r l y b i r d,2 3 7 9 10 11 12 13 14 15,-,w h i r l y b i r d,"User features, features similarity, Progressive alignment"
5598,bird,54,w h i r l y b i r d s,2 3 7 9 10 11 12 13 14 15 22,-,w h i r l y b i r d s,"User features, features similarity, Progressive alignment"
5599,biretta,0,b i r e t t a,0 1 2 3 4 5 6,b i r e t t a -,-,"User features, features similarity, Progressive alignment"
5600,biretta,1,b i r e t t a s,0 1 2 3 4 5 6 7,b i r e t t a -,- s,"User features, features similarity, Progressive alignment"
5601,biro,0,b i r o,0 1 2 3,b i r o -,-,"User features, features similarity, Progressive alignment"
5602,biro,1,b i r o s,0 1 2 3 4,b i r o -,- s,"User features, features similarity, Progressive alignment"
5603,biscuit,0,b i s c u i t,5 6 7 8 9 10 11,- b i s c u i t -,-,"User features, features similarity, Progressive alignment"
5604,biscuit,1,b i s c u i t s,5 6 7 8 9 10 11 12,- b i s c u i t -,- s,"User features, features similarity, Progressive alignment"
5605,biscuit,2,d o g - b i s c u i t,0 2 3 5 6 7 8 9 10 11,- b i s c u i t -,d o g -,"User features, features similarity, Progressive alignment"
5606,biscuit,3,d o g - b i s c u i t s,0 2 3 5 6 7 8 9 10 11 12,- b i s c u i t -,d o g - s,"User features, features similarity, Progressive alignment"
5607,biscuit,4,s o d a - b i s c u i t,1 2 3 4 5 6 7 8 9 10 11,- b i s c u i t -,s o d a -,"User features, features similarity, Progressive alignment"
5608,biscuit,5,s o d a - b i s c u i t s,1 2 3 4 5 6 7 8 9 10 11 12,- b i s c u i t -,s o d a - s,"User features, features similarity, Progressive alignment"
5609,biscuit,6,w a t e r - b i s c u i t,0 1 2 3 4 5 6 7 8 9 10 11,- b i s c u i t -,w a t e r -,"User features, features similarity, Progressive alignment"
5610,biscuit,7,w a t e r - b i s c u i t s,0 1 2 3 4 5 6 7 8 9 10 11 12,- b i s c u i t -,w a t e r - s,"User features, features similarity, Progressive alignment"
5611,bisexual,0,b i s e x u a l,0 1 2 3 4 5 6 7,b i s e x u a l -,-,"User features, features similarity, Progressive alignment"
5612,bisexual,1,b i s e x u a l i t y,0 1 2 3 4 5 6 7 8 9 10,b i s e x u a l -,- i t y,"User features, features similarity, Progressive alignment"
5613,bisexual,2,b i s e x u a l l y,0 1 2 3 4 5 6 7 8 10,b i s e x u a l -,- l y,"User features, features similarity, Progressive alignment"
5614,bisexual,3,b i s e x u a l s,0 1 2 3 4 5 6 7 9,b i s e x u a l -,- s,"User features, features similarity, Progressive alignment"
5615,bishop,0,a r c h b i s h o p,0 1 2 3 4 5 6 7 8 9,- b i s h o p -,a r c h -,"User features, features similarity, Progressive alignment"
5616,bishop,1,a r c h b i s h o p s,0 1 2 3 4 5 6 7 8 9 10,- b i s h o p -,a r c h - s,"User features, features similarity, Progressive alignment"
5617,bishop,2,b i s h o p,4 5 6 7 8 9,- b i s h o p -,-,"User features, features similarity, Progressive alignment"
5618,bishop,3,b i s h o p s,4 5 6 7 8 9 10,- b i s h o p -,- s,"User features, features similarity, Progressive alignment"
5619,bismuth,0,b i s m u t h,0 1 2 3 4 5 6,b i s m u t h,-,"User features, features similarity, Progressive alignment"
5620,bison,0,b i s o n,0 1 2 3 4,b i s o n -,-,"User features, features similarity, Progressive alignment"
5621,bison,1,b i s o n s,0 1 2 3 4 5,b i s o n -,- s,"User features, features similarity, Progressive alignment"
5622,bisque,0,b i s q u e,0 1 2 3 4 5,b i s q u e,-,"User features, features similarity, Progressive alignment"
5623,bistro,0,b i s t r o,0 1 2 3 4 5,b i s t r o -,-,"User features, features similarity, Progressive alignment"
5624,bistro,1,b i s t r o s,0 1 2 3 4 5 6,b i s t r o -,- s,"User features, features similarity, Progressive alignment"
5625,bit,0,b i t,7 8 10,- b i - t -,-,"User features, features similarity, Progressive alignment"
5626,bit,1,b i t s,7 8 10 14,- b i - t -,- s,"User features, features similarity, Progressive alignment"
5627,bit,2,b i t t i e r,7 8 9 10 11 13 15,- b i - t -,- t - i e r,"User features, features similarity, Progressive alignment"
5628,bit,3,b i t t i e s t,7 8 9 10 11 13 14 15,- b i - t -,- t - i e s t,"User features, features similarity, Progressive alignment"
5629,bit,4,b i t t i n e s s,7 8 9 10 11 12 13 14 15,- b i - t -,- t - i n e s s,"User features, features similarity, Progressive alignment"
5630,bit,5,b i t t y,7 8 9 10 12,- b i - t -,- t - y,"User features, features similarity, Progressive alignment"
5631,bit,6,c e n t r e - b i t,0 1 2 3 4 6 7 8 10,- b i - t -,c e n t r e -,"User features, features similarity, Progressive alignment"
5632,bit,7,c e n t r e - b i t s,0 1 2 3 4 6 7 8 10 14,- b i - t -,c e n t r e - s,"User features, features similarity, Progressive alignment"
5633,bit,8,s n a f f l e - b i t,0 1 2 3 4 5 6 7 8 10,- b i - t -,s n a f f l e -,"User features, features similarity, Progressive alignment"
5634,bit,9,s n a f f l e - b i t s,0 1 2 3 4 5 6 7 8 10 14,- b i - t -,s n a f f l e - s,"User features, features similarity, Progressive alignment"
5635,bit,10,t w o - b i t,3 4 5 7 8 10,- b i - t -,t w o -,"User features, features similarity, Progressive alignment"
5636,bitch,0,b i t c h,0 1 2 3 4,b i t c h -,-,"User features, features similarity, Progressive alignment"
5637,bitch,1,b i t c h e d,0 1 2 3 4 7 8,b i t c h -,- e d,"User features, features similarity, Progressive alignment"
5638,bitch,2,b i t c h e s,0 1 2 3 4 7 8,b i t c h -,- e s,"User features, features similarity, Progressive alignment"
5639,bitch,3,b i t c h i e r,0 1 2 3 4 5 7 9,b i t c h -,- i e r,"User features, features similarity, Progressive alignment"
5640,bitch,4,b i t c h i e s t,0 1 2 3 4 5 7 8 9,b i t c h -,- i e s t,"User features, features similarity, Progressive alignment"
5641,bitch,5,b i t c h i l y,0 1 2 3 4 5 6 8,b i t c h -,- i l y,"User features, features similarity, Progressive alignment"
5642,bitch,6,b i t c h i n e s s,0 1 2 3 4 5 6 7 8 9,b i t c h -,- i n e s s,"User features, features similarity, Progressive alignment"
5643,bitch,7,b i t c h i n g,0 1 2 3 4 5 6 9,b i t c h -,- i n g,"User features, features similarity, Progressive alignment"
5644,bitch,8,b i t c h y,0 1 2 3 4 6,b i t c h -,- y,"User features, features similarity, Progressive alignment"
5645,bite,0,b a c k b i t,0 2 3 4 6 7 8,- b i t -,b a c k -,"User features, features similarity, Progressive alignment"
5646,bite,1,b a c k b i t e,0 2 3 4 6 7 8 10,- b i t -,b a c k - e,"User features, features similarity, Progressive alignment"
5647,bite,2,b a c k b i t e r,0 2 3 4 6 7 8 10 11,- b i t -,b a c k - e r,"User features, features similarity, Progressive alignment"
5648,bite,3,b a c k b i t e r s,0 2 3 4 6 7 8 10 11 12,- b i t -,b a c k - e r s,"User features, features similarity, Progressive alignment"
5649,bite,4,b a c k b i t e s,0 2 3 4 6 7 8 10 12,- b i t -,b a c k - e s,"User features, features similarity, Progressive alignment"
5650,bite,5,b a c k b i t i n g,0 2 3 4 6 7 8 9 11 12,- b i t -,b a c k - i n g,"User features, features similarity, Progressive alignment"
5651,bite,6,b a c k b i t t e n,0 2 3 4 6 7 8 9 10 11,- b i t -,b a c k - t e n,"User features, features similarity, Progressive alignment"
5652,bite,7,b i t,6 7 8,- b i t -,-,"User features, features similarity, Progressive alignment"
5653,bite,8,b i t e,6 7 8 10,- b i t -,- e,"User features, features similarity, Progressive alignment"
5654,bite,9,b i t e s,6 7 8 10 12,- b i t -,- e s,"User features, features similarity, Progressive alignment"
5655,bite,10,b i t i n g,6 7 8 9 11 12,- b i t -,- i n g,"User features, features similarity, Progressive alignment"
5656,bite,11,b i t t e n,6 7 8 9 10 11,- b i t -,- t e n,"User features, features similarity, Progressive alignment"
5657,bite,12,f l e a b i t e,0 1 3 5 6 7 8 10,- b i t -,f l e a - e,"User features, features similarity, Progressive alignment"
5658,bite,13,f l e a b i t e s,0 1 3 5 6 7 8 10 12,- b i t -,f l e a - e s,"User features, features similarity, Progressive alignment"
5659,bite,14,f r o s t b i t e,0 1 2 4 5 6 7 8 10,- b i t -,f r o s t - e,"User features, features similarity, Progressive alignment"
